CONT_ID	DATEGMT	Month	Year	MAIN_tracking_Year	LON	LAT	COLONY	stage	UNIQUE_ID	timestamps
5968	12/09/2012 01:06	9	2012	2012	-17.3	21.38	SEL	NON-BREEDING	12	2012-09-12 01:06:00
5969	12/09/2012 12:57	9	2012	2012	-14.79634	4.297485	SEL	NON-BREEDING	12	2012-09-12 12:57:00
5970	13/09/2012 00:57	9	2012	2012	-14.98134	3.932485	SEL	NON-BREEDING	12	2012-09-13 00:57:00
5971	13/09/2012 13:00	9	2012	2012	-15.78134	7.922485	SEL	NON-BREEDING	12	2012-09-13 13:00:00
5972	14/09/2012 00:56	9	2012	2012	-14.68634	8.597485	SEL	NON-BREEDING	12	2012-09-14 00:56:00
5973	14/09/2012 12:58	9	2012	2012	-15.77	16.99	SEL	NON-BREEDING	12	2012-09-14 12:58:00
5974	15/09/2012 01:01	9	2012	2012	-16.44	16.13	SEL	NON-BREEDING	12	2012-09-15 01:01:00
5975	15/09/2012 12:59	9	2012	2012	-15.99	9.28	SEL	NON-BREEDING	12	2012-09-15 12:59:00
5976	16/09/2012 01:05	9	2012	2012	-17.77884	8.619985	SEL	NON-BREEDING	12	2012-09-16 01:05:00
5977	17/09/2012 12:56	9	2012	2012	-15.29	18.83	SEL	NON-BREEDING	12	2012-09-17 12:56:00
5978	18/09/2012 00:58	9	2012	2012	-15.83	19.99	SEL	NON-BREEDING	12	2012-09-18 00:58:00
5979	01/10/2012 12:44	10	2012	2012	-13.49	34.29	SEL	NON-BREEDING	12	2012-10-01 12:44:00
5980	02/10/2012 00:48	10	2012	2012	-14.78	48.99	SEL	NON-BREEDING	12	2012-10-02 00:48:00
5981	02/10/2012 12:52	10	2012	2012	-16.91	41.85	SEL	NON-BREEDING	12	2012-10-02 12:52:00
5982	03/10/2012 00:51	10	2012	2012	-15.61	36.24	SEL	NON-BREEDING	12	2012-10-03 00:51:00
5983	03/10/2012 12:45	10	2012	2012	-14.02	48.37	SEL	NON-BREEDING	12	2012-10-03 12:45:00
5984	04/10/2012 00:47	10	2012	2012	-15.77	47.94	SEL	NON-BREEDING	12	2012-10-04 00:47:00
5985	04/10/2012 12:47	10	2012	2012	-15.81	47.35	SEL	NON-BREEDING	12	2012-10-04 12:47:00
5986	05/10/2012 00:46	10	2012	2012	-15.6	42.03	SEL	NON-BREEDING	12	2012-10-05 00:46:00
5987	05/10/2012 12:48	10	2012	2012	-14.93	47.12	SEL	NON-BREEDING	12	2012-10-05 12:48:00
5988	06/10/2012 00:47	10	2012	2012	-14.84	40.93	SEL	NON-BREEDING	12	2012-10-06 00:47:00
5989	06/10/2012 12:45	10	2012	2012	-14.37	41.81	SEL	NON-BREEDING	12	2012-10-06 12:45:00
5990	07/10/2012 00:45	10	2012	2012	-14.29	41.36	SEL	NON-BREEDING	12	2012-10-07 00:45:00
5991	07/10/2012 12:43	10	2012	2012	-13.82	42.12	SEL	NON-BREEDING	12	2012-10-07 12:43:00
5992	08/10/2012 00:43	10	2012	2012	-13.86	42.79	SEL	NON-BREEDING	12	2012-10-08 00:43:00
5993	08/10/2012 12:43	10	2012	2012	-13.77	42.36	SEL	NON-BREEDING	12	2012-10-08 12:43:00
5994	09/10/2012 00:43	10	2012	2012	-13.93	41.98	SEL	NON-BREEDING	12	2012-10-09 00:43:00
5995	09/10/2012 12:41	10	2012	2012	-13.33	43.5	SEL	NON-BREEDING	12	2012-10-09 12:41:00
5996	10/10/2012 00:43	10	2012	2012	-13.87	45.66	SEL	NON-BREEDING	12	2012-10-10 00:43:00
5997	10/10/2012 12:44	10	2012	2012	-14.15	46.01	SEL	NON-BREEDING	12	2012-10-10 12:44:00
5998	11/10/2012 00:41	10	2012	2012	-13.43	39.9	SEL	NON-BREEDING	12	2012-10-11 00:41:00
5999	11/10/2012 12:37	10	2012	2012	-12.59	39.69	SEL	NON-BREEDING	12	2012-10-11 12:37:00
6000	12/10/2012 00:36	10	2012	2012	-12.37	40.29	SEL	NON-BREEDING	12	2012-10-12 00:36:00
6001	12/10/2012 12:41	10	2012	2012	-13.65	36.06	SEL	NON-BREEDING	12	2012-10-12 12:41:00
6002	13/10/2012 00:45	10	2012	2012	-14.68	33.52	SEL	NON-BREEDING	12	2012-10-13 00:45:00
6003	13/10/2012 12:43	10	2012	2012	-14.09	38.21	SEL	NON-BREEDING	12	2012-10-13 12:43:00
6004	14/10/2012 00:44	10	2012	2012	-14.49	39.51	SEL	NON-BREEDING	12	2012-10-14 00:44:00
